raceId,driverId,stop,lap,resultId,constructorId,grid,position,points,laps,rank,statusId,wins,year,circuitId
841,17,1,11,20783,9,3,5.0,10.0,58,3,1,1,2011,1
841,4,1,12,20782,6,5,4.0,12.0,58,2,1,0,2011,1
841,20,1,14,20779,9,1,1.0,25.0,58,4,1,1,2011,1
841,1,1,16,20780,1,2,2.0,18.0,58,8,1,0,2011,1
841,808,1,16,20781,4,6,3.0,15.0,58,7,1,0,2011,1
841,17,2,26,20783,9,3,5.0,10.0,58,3,1,1,2011,1
841,4,2,27,20782,6,5,4.0,12.0,58,2,1,0,2011,1
841,20,2,36,20779,9,1,1.0,25.0,58,4,1,1,2011,1
841,1,2,36,20780,1,2,2.0,18.0,58,8,1,0,2011,1
841,808,2,36,20781,4,6,3.0,15.0,58,7,1,0,2011,1
841,17,3,41,20783,9,3,5.0,10.0,58,3,1,1,2011,1
841,4,3,42,20782,6,5,4.0,12.0,58,2,1,0,2011,1
842,17,1,10,20804,9,3,4.0,12.0,56,1,1,2,2011,2
842,20,1,13,20801,9,1,1.0,25.0,56,6,1,2,2011,2
842,2,1,13,20803,4,6,3.0,15.0,56,7,1,0,2011,2
842,18,1,13,20802,1,4,2.0,18.0,56,4,1,0,2011,2
842,13,1,13,20805,6,7,5.0,10.0,56,9,1,0,2011,2
842,17,2,22,20804,9,3,4.0,12.0,56,1,1,2,2011,2
842,18,2,23,20802,1,4,2.0,18.0,56,4,1,0,2011,2
842,20,2,25,20801,9,1,1.0,25.0,56,6,1,2,2011,2
842,2,2,26,20803,4,6,3.0,15.0,56,7,1,0,2011,2
842,13,2,27,20805,6,7,5.0,10.0,56,9,1,0,2011,2
842,17,3,32,20804,9,3,4.0,12.0,56,1,1,2,2011,2
842,18,3,38,20802,1,4,2.0,18.0,56,4,1,0,2011,2
842,13,3,38,20805,6,7,5.0,10.0,56,9,1,0,2011,2
842,2,3,39,20803,4,6,3.0,15.0,56,7,1,0,2011,2
842,20,3,41,20801,9,1,1.0,25.0,56,6,1,2,2011,2
842,17,4,43,20804,9,3,4.0,12.0,56,1,1,2,2011,2
843,17,1,10,20827,9,18,3.0,15.0,56,1,1,2,2011,17
843,3,1,12,20829,131,4,5.0,10.0,56,5,1,0,2011,17
843,18,1,14,20828,1,2,4.0,12.0,56,3,1,1,2011,17
843,20,1,14,20826,9,1,2.0,18.0,56,8,1,2,2011,17
843,1,1,15,20825,1,3,1.0,25.0,56,2,1,1,2011,17
843,18,2,24,20828,1,2,4.0,12.0,56,3,1,1,2011,17
843,3,2,25,20829,131,4,5.0,10.0,56,5,1,0,2011,17
843,1,2,25,20825,1,3,1.0,25.0,56,2,1,1,2011,17
843,17,2,25,20827,9,18,3.0,15.0,56,1,1,2,2011,17
843,20,2,31,20826,9,1,2.0,18.0,56,8,1,2,2011,17
843,18,3,37,20828,1,2,4.0,12.0,56,3,1,1,2011,17
843,1,3,38,20825,1,3,1.0,25.0,56,2,1,1,2011,17
843,3,3,39,20829,131,4,5.0,10.0,56,5,1,0,2011,17
843,17,3,40,20827,9,18,3.0,15.0,56,1,1,2,2011,17
844,1,1,9,20852,1,4,4.0,12.0,58,4,1,1,2011,5
844,17,1,10,20850,9,2,2.0,18.0,58,1,1,3,2011,5
