resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration
20779,841,20,9,1,1,25.0,58,1,2,46639
20780,841,1,1,2,2,18.0,58,1,2,46426
20781,841,808,4,6,3,15.0,58,1,2,50218
20782,841,4,6,5,4,12.0,58,1,3,72165
20783,841,17,9,3,5,10.0,58,1,3,72176
20784,841,18,1,4,6,8.0,58,1,3,62851
20785,841,13,6,8,7,6.0,58,1,3,72437
20786,841,67,5,10,8,4.0,57,11,2,48442
20787,841,16,10,16,9,2.0,57,11,2,49849
20788,841,814,10,14,10,1.0,57,11,2,49195
20789,841,153,5,12,11,0.0,57,11,3,77709
20790,841,2,4,18,12,0.0,57,11,2,48092
20791,841,15,205,20,13,0.0,56,12,2,49747
20792,841,816,166,22,14,0.0,54,14,2,51705
20793,841,10,166,21,15,0.0,49,19,1,23792
20794,841,22,3,17,16,0.0,48,7,4,104700
20795,841,3,131,7,17,0.0,22,4,1,23716
20796,841,5,205,19,18,0.0,19,47,1,24865
20797,841,30,131,11,19,0.0,19,4,2,49009
20799,841,155,15,9,21,0.0,58,2,2,48256
20800,841,815,15,13,22,0.0,58,2,1,23438
20801,842,20,9,1,1,25.0,56,1,3,67225
20802,842,18,1,4,2,18.0,56,1,3,67354
20803,842,2,4,6,3,15.0,56,1,3,69723
20804,842,17,9,3,4,12.0,56,1,4,88793
20805,842,13,6,7,5,10.0,56,1,3,74658
20806,842,4,6,5,6,8.0,56,1,4,98040
20807,842,155,15,10,7,6.0,56,1,2,46722
20808,842,1,1,2,8,4.0,56,1,4,93011
20809,842,30,131,11,9,2.0,56,1,3,67064
20810,842,814,10,14,10,1.0,56,1,3,69169
20811,842,16,10,17,11,0.0,55,11,3,76290
20812,842,3,131,9,12,0.0,55,11,3,70070
20813,842,67,5,12,13,0.0,55,11,3,80562
20814,842,153,5,13,14,0.0,55,11,2,46472
20815,842,5,205,19,15,0.0,55,11,2,52420
20816,842,10,166,21,16,0.0,54,12,2,49046
20817,842,808,4,8,17,0.0,52,3,3,74556
20818,842,24,164,23,18,0.0,46,88,3,93192
20819,842,816,166,22,19,0.0,42,3,2,50668
20820,842,15,205,20,20,0.0,31,8,1,25516
20821,842,815,15,16,21,0.0,23,3,1,23597
20822,842,22,3,15,22,0.0,22,6,2,57480
20825,843,1,1,3,1,25.0,56,1,3,61978
20826,843,20,9,1,2,18.0,56,1,2,43528
20827,843,17,9,18,3,15.0,56,1,3,65665
20828,843,18,1,2,4,12.0,56,1,3,65774
20829,843,3,131,4,5,10.0,56,1,3,63496
20830,843,13,6,6,6,8.0,56,1,2,42792
20831,843,4,6,5,7,6.0,56,1,2,43775
20832,843,30,131,14,8,4.0,56,1,3,63886
20833,843,808,4,10,9,2.0,56,1,2,43986
20834,843,155,15,13,10,1.0,56,1,2,43791
20835,843,814,10,8,11,0.0,56,1,2,43207
20836,843,2,4,16,12,0.0,56,1,2,44037
20837,843,22,3,15,13,0.0,56,1,2,43190
20838,843,67,5,9,14,0.0,56,1,3,68660
20839,843,16,10,11,15,0.0,55,11,3,70755
20840,843,5,205,19,16,0.0,55,11,2,44375
20841,843,815,15,12,17,0.0,55,11,4,87615
20842,843,813,3,17,18,0.0,55,11,3,72842
20843,843,15,205,20,19,0.0,55,11,2,45289
20844,843,816,166,21,20,0.0,54,12,2,45703
20845,843,10,166,22,21,0.0,54,12,3,78418
20846,843,24,164,23,22,0.0,54,12,3,62126
20847,843,39,164,24,23,0.0,54,12,1,26049
20848,843,153,5,7,24,0.0,9,36,1,22419
20849,844,20,9,1,1,25.0,58,1,4,81609
20850,844,17,9,2,2,18.0,58,1,4,84401
20851,844,4,6,5,3,15.0,58,1,4,86121
20852,844,1,1,4,4,12.0,58,1,4,99637
20853,844,3,131,3,5,10.0,58,1,4,84757
20854,844,18,1,6,6,8.0,58,1,3,65424
20855,844,2,4,9,7,6.0,58,1,4,86975
20856,844,808,4,7,8,4.0,58,1,4,86245
20857,844,67,5,16,9,2.0,58,1,3,65929
20858,844,155,15,24,10,1.0,58,1,3,67731
20859,844,13,6,10,11,0.0,58,1,4,93500
20860,844,30,131,8,12,0.0,58,1,4,92065
20861,844,16,10,12,13,0.0,57,11,3,63739
20862,844,815,15,15,14,0.0,57,11,4,96245
20863,844,22,3,11,15,0.0,57,11,3,67272
20864,844,153,5,17,16,0.0,57,11,4,88456
20865,844,813,3,14,17,0.0,57,11,4,82188
20866,844,15,205,19,18,0.0,57,11,3,68147
20867,844,5,205,18,19,0.0,56,12,3,67601
20868,844,816,166,23,20,0.0,56,12,2,47616
20869,844,39,164,22,21,0.0,55,13,3,76789
20870,844,24,164,20,22,0.0,53,15,4,149973
20871,844,814,10,13,23,0.0,44,31,4,83995
20873,845,20,9,2,1,25.0,66,1,4,80858
20874,845,1,1,3,2,18.0,66,1,4,81457
20875,845,18,1,5,3,15.0,66,1,3,60885
20876,845,17,9,1,4,12.0,66,1,4,81223
20877,845,4,6,4,5,10.0,65,11,4,81923
20878,845,30,131,10,6,8.0,65,11,3,61022
20879,845,3,131,7,7,6.0,65,11,3,60576
20880,845,2,4,24,8,4.0,65,11,3,64071
20881,845,815,15,12,9,2.0,65,11,3,66564
20882,845,155,15,14,10,1.0,65,11,3,66499
20883,845,808,4,6,11,0.0,65,11,3,67827
20884,845,814,10,16,12,0.0,65,11,3,60769
20885,845,16,10,17,13,0.0,65,11,3,64270
20886,845,67,5,11,14,0.0,65,11,3,66382
20887,845,813,3,9,15,0.0,65,11,4,91161
20888,845,153,5,13,16,0.0,64,12,4,85775
20889,845,22,3,19,17,0.0,64,12,4,92449
20890,845,15,205,18,18,0.0,64,12,3,67088
20891,845,10,166,20,19,0.0,63,13,3,65546
20892,845,816,166,23,20,0.0,62,14,3,67866
20893,845,39,164,22,21,0.0,61,15,3,73589
20894,845,13,6,8,22,0.0,58,6,3,64854
20895,845,5,205,15,23,0.0,48,3,3,64894
20896,845,24,164,21,24,0.0,28,6,1,23157
20897,846,20,9,1,1,25.0,78,1,1,28536
20898,846,4,6,4,2,18.0,78,1,2,56734
20899,846,18,1,2,3,15.0,78,1,3,76371
20900,846,17,9,3,4,12.0,78,1,2,64004
20901,846,155,15,12,5,10.0,78,1,1,28642
20902,846,1,1,9,6,8.0,78,1,3,77769
20903,846,16,10,14,7,6.0,77,11,2,52916
20904,846,2,4,15,8,4.0,77,11,2,52132
20905,846,22,3,11,9,2.0,77,11,2,51596
20906,846,67,5,16,10,1.0,77,11,2,51118
20907,846,3,131,7,11,0.0,76,12,3,75615
20908,846,814,10,13,12,0.0,76,12,3,91556
20909,846,15,205,18,13,0.0,76,12,2,51660
20910,846,5,205,17,14,0.0,76,12,2,52355
20911,846,816,166,21,15,0.0,75,13,2,54041
20912,846,24,164,23,16,0.0,75,13,1,28298
20913,846,39,164,22,17,0.0,74,14,2,68242
20914,846,813,3,8,18,0.0,73,3,2,52155
20915,846,808,4,10,19,0.0,67,4,1,28856
20916,846,153,5,19,20,0.0,66,4,2,53457
20917,846,13,6,6,21,0.0,32,3,1,26615
20918,846,30,131,5,22,0.0,32,5,1,35084
20919,846,10,166,20,23,0.0,30,22,1,26827
