driverId,constructorId,grid,winner,laps,circuitId
1,1,1,True,58,1
2,2,5,False,58,1
3,3,7,False,58,1
4,4,11,False,58,1
5,1,3,False,58,1
6,3,13,False,57,1
7,5,17,False,55,1
8,6,15,False,53,1
9,2,2,False,47,1
10,7,18,False,43,1
11,8,19,False,32,1
12,4,20,False,30,1
13,6,4,False,29,1
14,9,8,False,25,1
15,7,6,False,19,1
16,10,22,False,8,1
17,9,14,False,0,1
18,11,12,False,0,1
19,8,21,False,0,1
20,5,9,False,0,1
21,10,16,False,0,1
22,11,10,False,58,1
8,6,2,True,56,2
9,2,4,False,56,2
5,1,8,False,56,2
15,7,3,False,56,2
1,1,9,False,56,2
2,2,5,False,56,2
17,9,6,False,56,2
4,4,7,False,56,2
14,9,12,False,56,2
18,11,11,False,56,2
12,4,13,False,56,2
21,10,17,False,55,2
22,11,14,False,55,2
3,3,16,False,55,2
19,8,21,False,55,2
11,8,19,False,54,2
6,3,22,False,54,2
20,5,15,False,39,2
13,6,1,False,30,2
16,10,20,False,5,2
10,7,10,False,1,2
7,5,18,False,0,2
13,6,2,True,57,3
8,6,4,False,57,3
9,2,1,False,57,3
2,2,6,False,57,3
5,1,5,False,57,3
15,7,7,False,57,3
17,9,11,False,57,3
3,3,8,False,57,3
10,7,13,False,57,3
4,4,10,False,57,3
22,11,12,False,57,3
21,10,18,False,56,3
1,1,3,False,56,3
6,3,16,False,56,3
7,5,15,False,56,3
19,8,21,False,56,3
11,8,22,False,56,3
14,9,17,False,56,3
16,10,20,False,56,3
12,4,14,False,40,3
18,11,9,False,19,3
20,5,19,False,0,3
8,6,1,True,66,4
13,6,3,False,66,4
1,1,5,False,66,4
9,2,4,False,66,4
17,9,7,False,66,4
18,11,13,False,66,4
6,3,12,False,66,4
15,7,8,False,66,4
2,2,9,False,66,4
21,10,19,False,65,4
10,7,14,False,65,4
14,9,17,False,65,4
11,8,22,False,65,4
3,3,15,False,41,4
4,4,2,False,34,4
22,11,11,False,34,4
5,1,6,False,21,4
19,8,21,False,8,4
7,5,16,False,7,4
12,4,10,False,6,4
16,10,20,False,0,4
20,5,18,False,0,4
13,6,1,True,58,5
1,1,3,False,58,5
8,6,4,False,58,5
9,2,5,False,58,5
2,2,9,False,58,5
4,4,7,False,58,5
17,9,6,False,58,5
3,3,11,False,58,5
14,9,10,False,58,5
15,7,8,False,58,5
18,11,13,False,57,5
5,1,2,False,57,5
10,7,15,False,57,5
22,11,12,False,57,5
12,4,17,False,57,5
16,10,19,False,57,5
20,5,14,False,57,5
7,5,18,False,24,5
6,3,16,False,1,5
21,10,20,False,0,5
1,1,3,True,76,6
9,2,5,False,76,6
13,6,1,False,76,6
17,9,9,False,76,6
20,5,19,False,76,6
22,11,14,False,76,6
6,3,13,False,76,6
5,1,4,False,76,6
8,6,2,False,76,6
4,4,7,False,75,6
18,11,11,False,75,6
10,7,10,False,75,6
15,7,8,False,75,6
2,2,12,False,72,6
16,10,18,False,67,6
3,3,6,False,59,6
12,4,17,False,47,6
21,10,20,False,36,6
14,9,15,False,7,6
7,5,16,False,7,6
9,2,2,True,70,7
2,2,8,False,70,7
14,9,13,False,70,7
10,7,11,False,70,7
13,6,6,False,70,7
15,7,14,False,70,7
22,11,9,False,70,7
20,5,19,False,70,7
5,1,7,False,70,7
3,3,5,False,70,7
18,11,20,False,70,7
17,9,10,False,70,7
7,5,18,False,69,7
21,10,17,False,51,7
6,3,12,False,46,7
4,4,4,False,44,7
12,4,15,False,43,7
8,6,3,False,19,7
1,1,1,False,19,7
16,10,16,False,13,7
13,6,2,True,70,8
8,6,1,False,70,8
15,7,4,False,70,8
5,1,10,False,70,8
9,2,5,False,70,8
17,9,6,False,70,8
12,4,9,False,70,8
4,4,3,False,70,8
14,9,7,False,70,8
1,1,13,False,70,8
10,7,8,False,70,8
20,5,12,False,70,8
2,2,11,False,70,8
22,11,20,False,69,8
6,3,15,False,69,8
3,3,19,False,69,8
7,5,14,False,69,8
21,10,17,False,69,8
16,10,18,False,69,8
18,11,16,False,16,8
1,1,4,True,60,9
2,2,5,False,60,9
22,11,16,False,60,9
8,6,3,False,59,9
5,1,1,False,59,9
4,4,6,False,59,9
15,7,14,False,59,9
6,3,15,False,59,9
3,3,20,False,59,9
17,9,2,False,59,9
7,5,13,False,59,9
10,7,12,False,59,9
13,6,9,False,58,9
9,2,10,False,39,9
18,11,17,False,38,9
12,4,7,False,35,9
21,10,19,False,16,9
16,10,18,False,10,9
20,5,8,False,0,9
14,9,11,False,0,9
1,1,1,True,67,10
12,4,17,False,67,10
13,6,2,False,67,10
2,2,12,False,67,10
5,1,3,False,67,10
8,6,6,False,67,10
9,2,7,False,67,10
20,5,9,False,67,10
15,7,4,False,67,10
3,3,13,False,67,10
4,4,5,False,67,10
7,5,15,False,67,10
14,9,10,False,67,10
6,3,16,False,67,10
16,10,19,False,67,10
21,10,20,False,67,10
18,11,14,False,66,10
22,11,18,False,50,10
17,9,8,False,40,10
10,7,11,False,35,10
5,1,2,True,70,11
10,7,5,False,70,11
8,6,6,False,70,11
4,4,7,False,70,11
1,1,1,False,70,11
12,4,10,False,70,11
15,7,9,False,70,11
9,2,4,False,70,11
17,9,8,False,70,11
2,2,15,False,70,11
14,9,13,False,70,11
18,11,12,False,69,11
6,3,16,False,69,11
3,3,14,False,69,11
21,10,18,False,69,11
22,11,17,False,68,11
13,6,3,False,67,11
7,5,19,False,67,11
16,10,20,False,62,11
20,5,11,False,22,11
13,6,1,True,57,12
1,1,2,False,57,12
9,2,3,False,57,12
5,1,5,False,57,12
15,7,7,False,57,12
20,5,6,False,57,12
10,7,13,False,57,12
3,3,9,False,57,12
2,2,8,False,57,12
7,5,10,False,57,12
12,4,15,False,57,12
17,9,14,False,56,12
18,11,16,False,56,12
21,10,18,False,56,12
6,3,11,False,56,12
22,11,19,False,56,12
14,9,17,False,56,12
8,6,4,False,45,12
16,10,20,False,41,12
4,4,12,False,0,12
13,6,2,True,44,13
2,2,5,False,44,13
1,1,1,False,44,13
4,4,6,False,44,13
20,5,10,False,44,13
9,2,8,False,44,13
7,5,9,False,44,13
17,9,7,False,44,13
10,7,13,False,44,13
5,1,3,False,43,13
14,9,14,False,43,13
3,3,15,False,43,13
16,10,18,False,43,13
6,3,19,False,43,13
18,11,17,False,43,13
15,7,11,False,43,13
21,10,20,False,43,13
8,6,4,False,42,13
22,11,16,False,19,13
12,4,12,False,13,13
20,5,1,True,53,14
5,1,2,False,53,14
9,2,11,False,53,14
4,4,8,False,53,14
2,2,10,False,53,14
13,6,6,False,53,14
1,1,15,False,53,14
17,9,3,False,53,14
8,6,14,False,53,14
12,4,17,False,53,14
10,7,9,False,53,14
6,3,18,False,53,14
15,7,7,False,53,14
3,3,5,False,53,14
18,11,19,False,53,14
14,9,13,False,52,14
22,11,16,False,52,14
7,5,4,False,52,14
16,10,20,False,51,14
21,10,12,False,11,14
4,4,15,True,61,15
3,3,8,False,61,15
1,1,2,False,61,15
10,7,7,False,61,15
20,5,6,False,61,15
2,2,9,False,61,15
14,9,14,False,61,15
6,3,10,False,61,15
18,11,12,False,61,15
5,1,5,False,61,15
9,2,4,False,61,15
7,5,17,False,61,15
13,6,1,False,61,15
21,10,20,False,61,15
8,6,3,False,57,15
15,7,11,False,50,15
16,10,19,False,49,15
17,9,13,False,29,15
22,11,18,False,14,15
12,4,16,False,13,15
4,4,4,True,67,16
9,2,6,False,67,16
8,6,2,False,67,16
12,4,12,False,67,16
15,7,7,False,67,16
20,5,9,False,67,16
13,6,5,False,67,16
17,9,13,False,67,16
2,2,16,False,67,16
7,5,10,False,67,16
3,3,15,False,67,16
1,1,1,False,67,16
22,11,17,False,66,16
18,11,18,False,66,16
6,3,14,False,66,16
21,10,20,False,21,16
5,1,3,False,16,16
16,10,19,False,8,16
10,7,8,False,6,16
14,9,11,False,0,16
1,1,1,True,56,17
13,6,3,False,56,17
8,6,2,False,56,17
4,4,4,False,56,17
2,2,9,False,56,17
9,2,11,False,56,17
10,7,12,False,56,17
12,4,10,False,56,17
20,5,6,False,56,17
14,9,15,False,56,17
22,11,13,False,56,17
6,3,17,False,56,17
7,5,8,False,56,17
17,9,16,False,56,17
3,3,14,False,55,17
18,11,18,False,55,17
21,10,20,False,55,17
5,1,5,False,49,17
16,10,19,False,13,17
15,7,7,False,2,17
13,6,1,True,71,18
4,4,6,False,71,18
8,6,3,False,71,18
20,5,7,False,71,18
1,1,4,False,71,18
10,7,10,False,71,18
5,1,5,False,71,18
15,7,2,False,71,18
17,9,12,False,71,18
2,2,8,False,70,18
9,2,13,False,70,18
3,3,18,False,70,18
18,11,17,False,70,18
7,5,9,False,70,18
22,11,15,False,70,18
16,10,20,False,69,18
6,3,16,False,69,18
21,10,19,False,69,18
12,4,11,False,0,18
14,9,14,False,0,18
8,6,1,True,58,1
4,1,2,False,58,1
1,1,4,False,58,1
2,2,3,False,58,1
21,4,6,False,58,1
13,6,22,False,58,1
3,3,12,False,57,1
23,7,9,False,57,1
15,7,8,False,57,1
5,4,13,False,57,1
22,11,16,False,57,1
11,8,10,False,57,1
17,9,7,False,57,1
24,5,19,False,57,1
18,11,14,False,57,1
19,8,11,False,56,1
16,12,20,False,56,1
25,3,15,False,48,1
14,9,18,False,48,1
9,2,5,False,36,1
26,5,17,False,28,1
27,12,21,False,10,1
4,1,2,True,56,2
1,1,4,False,56,2
8,6,3,False,56,2
2,2,5,False,56,2
13,6,1,False,56,2
21,4,12,False,56,2
15,7,8,False,56,2
5,4,11,False,56,2
25,3,19,False,56,2
17,9,10,False,56,2
22,11,22,False,55,2
18,11,15,False,55,2
11,8,14,False,55,2
26,5,17,False,55,2
23,7,9,False,55,2
19,8,18,False,55,2
24,5,16,False,55,2
9,2,7,False,55,2
3,3,6,False,42,2
14,9,13,False,36,2
27,12,20,False,7,2
16,12,21,False,0,2
13,6,1,True,57,3
1,1,2,False,57,3
8,6,3,False,57,3
2,2,5,False,57,3
4,1,4,False,57,3
9,2,6,False,57,3
15,7,9,False,57,3
21,4,7,False,57,3
5,4,12,False,57,3
3,3,10,False,57,3
25,3,11,False,56,3
23,7,14,False,56,3
22,11,15,False,56,3
27,12,22,False,55,3
16,12,20,False,53,3
19,8,13,False,51,3
17,9,8,False,41,3
14,9,21,False,36,3
11,8,17,False,34,3
24,5,18,False,26,3
18,11,16,False,0,3
26,5,19,False,0,3
13,6,1,True,65,4
1,1,4,False,65,4
4,1,2,False,65,4
9,2,5,False,65,4
14,9,9,False,65,4
3,3,11,False,65,4
5,4,8,False,65,4
11,8,13,False,64,4
21,4,10,False,64,4
22,11,12,False,64,4
19,8,15,False,64,4
18,11,14,False,64,4
16,12,20,False,63,4
27,12,21,False,63,4
2,2,7,False,46,4
23,7,17,False,44,4
24,5,16,False,19,4
26,5,22,False,9,4
8,6,3,False,9,4
15,7,6,False,8,4
17,9,19,False,7,4
25,3,18,False,1,4
4,1,1,True,78,6
1,1,2,False,78,6
13,6,3,False,78,6
21,4,4,False,77,6
9,2,8,False,77,6
2,2,7,False,77,6
25,3,11,False,77,6
8,6,16,False,77,6
26,5,18,False,77,6
22,11,9,False,77,6
18,11,10,False,77,6
3,3,5,False,77,6
5,4,15,False,76,6
14,9,13,False,76,6
15,7,14,False,76,6
23,7,20,False,76,6
11,8,21,False,76,6
19,8,17,False,76,6
27,12,22,False,70,6
16,12,19,False,53,6
17,9,6,False,17,6
24,5,12,False,2,6
1,1,1,True,70,7
2,2,3,False,70,7
25,3,19,False,70,7
5,4,22,False,70,7
8,6,4,False,70,7
11,8,11,False,70,7
4,1,2,False,70,7
23,7,18,False,70,7
17,9,6,False,70,7
3,3,7,False,70,7
19,8,17,False,70,7
22,11,13,False,70,7
15,7,10,False,58,7
24,5,12,False,54,7
27,12,21,False,47,7
14,9,14,False,36,7
9,2,8,False,26,7
16,12,20,False,21,7
26,5,16,False,8,7
18,11,15,False,0,7
13,6,5,False,51,7
21,4,9,False,51,7
1,1,1,True,73,19
4,1,2,False,73,19
13,6,3,False,73,19
8,6,4,False,73,19
5,4,6,False,73,19
15,7,8,False,73,19
17,9,9,False,73,19
20,2,7,False,73,19
21,4,10,False,72,19
25,3,17,False,72,19
19,8,16,False,72,19
18,11,13,False,72,19
26,5,20,False,71,19
16,12,21,False,71,19
27,12,22,False,70,19
3,3,14,False,68,19
24,5,19,False,68,19
2,2,5,False,56,19
11,8,18,False,13,19
14,9,11,False,0,19
22,11,15,False,0,19
23,7,12,False,0,19
8,6,3,True,70,8
13,6,1,False,70,8
1,1,2,False,70,8
9,2,4,False,70,8
2,2,7,False,70,8
21,4,5,False,70,8
4,1,10,False,70,8
18,11,12,False,70,8
3,3,9,False,70,8
23,7,11,False,69,8
22,11,13,False,69,8
17,9,14,False,69,8
14,9,16,False,69,8
25,3,18,False,69,8
5,4,6,False,69,8
11,8,22,False,68,8
16,12,21,False,68,8
26,5,15,False,55,8
27,12,20,False,28,8
19,8,19,False,1,8
15,7,8,False,1,8
24,5,17,False,0,8
8,6,2,True,59,9
4,1,3,False,59,9
1,1,1,False,59,9
9,2,5,False,59,9
13,6,4,False,59,9
2,2,9,False,59,9
5,4,7,False,58,9
21,4,8,False,58,9
22,11,14,False,58,9
18,11,18,False,58,9
14,9,12,False,58,9
3,3,17,False,58,9
25,3,13,False,58,9
11,8,21,False,57,9
27,12,22,False,57,9
24,5,16,False,53,9
15,7,10,False,43,9
19,8,19,False,35,9
26,5,15,False,29,9
23,7,6,False,22,9
16,12,20,False,16,9
17,9,11,False,8,9
4,1,2,True,60,20
13,6,3,False,60,20
17,9,6,False,60,20
25,3,12,False,60,20
14,9,20,False,60,20
2,2,4,False,60,20
9,2,5,False,60,20
5,4,7,False,59,20
1,1,10,False,59,20
21,4,13,False,59,20
22,11,14,False,59,20
19,8,15,False,59,20
15,7,8,False,59,20
8,6,1,False,34,20
11,8,16,False,19,20
23,7,9,False,18,20
28,12,22,False,13,20
18,11,17,False,2,20
16,12,21,False,2,20
3,3,11,False,2,20
26,5,18,False,2,20
24,5,19,False,2,20
1,1,1,True,70,11
8,6,3,False,70,11
2,2,2,False,70,11
4,1,6,False,70,11
9,2,7,False,70,11
23,7,5,False,70,11
3,3,4,False,70,11
5,4,11,False,70,11
17,9,9,False,70,11
15,7,8,False,69,11
14,9,10,False,69,11
21,4,13,False,69,11
13,6,14,False,69,11
25,3,12,False,69,11
11,8,19,False,69,11
20,5,20,False,69,11
16,12,21,False,68,11
22,11,18,False,68,11
24,5,16,False,42,11
19,8,15,False,41,11
18,11,17,False,35,11
29,12,22,False,4,11
13,6,1,True,58,5
8,6,3,False,58,5
4,1,4,False,58,5
2,2,6,False,58,5
1,1,2,False,58,5
5,4,7,False,58,5
3,3,8,False,58,5
9,2,5,False,58,5
21,4,10,False,58,5
14,9,13,False,58,5
25,3,14,False,58,5
23,7,16,False,57,5
18,11,21,False,57,5
19,8,11,False,57,5
24,5,15,False,57,5
15,7,9,False,57,5
22,11,22,False,57,5
11,8,17,False,57,5
20,5,18,False,57,5
29,12,20,False,56,5
16,12,19,False,53,5
17,9,12,False,9,5
4,1,1,True,53,14
1,1,2,False,53,14
8,6,5,False,53,14
2,2,4,False,53,14
9,2,6,False,53,14
3,3,8,False,53,14
5,4,7,False,53,14
18,11,10,False,53,14
17,9,11,False,53,14
22,11,12,False,53,14
15,7,9,False,53,14
21,4,15,False,52,14
25,3,13,False,52,14
19,8,14,False,52,14
23,7,18,False,52,14
11,8,17,False,52,14
24,5,19,False,52,14
20,5,16,False,52,14
16,12,21,False,52,14
29,12,22,False,52,14
13,6,3,False,10,14
14,9,20,False,1,14
8,6,1,True,44,13
13,6,2,False,44,13
4,1,3,False,44,13
1,1,4,False,44,13
2,2,6,False,44,13
3,3,5,False,44,13
17,9,7,False,44,13
5,4,9,False,44,13
9,2,14,False,44,13
23,7,10,False,44,13
15,7,8,False,44,13
24,5,13,False,43,13
22,11,17,False,43,13
16,12,19,False,43,13
11,8,18,False,43,13
19,8,20,False,43,13
29,12,21,False,43,13
18,11,12,False,36,13
25,3,15,False,34,13
14,9,11,False,29,13
20,5,16,False,8,13
21,4,22,False,1,13
1,1,1,True,67,16
5,4,11,False,67,16
8,6,3,False,67,16
14,9,12,False,67,16
21,4,10,False,67,16
13,6,4,False,67,16
9,2,9,False,67,16
16,12,20,False,67,16
24,5,14,False,67,16
22,11,17,False,67,16
18,11,6,False,66,16
29,12,22,False,66,16
15,7,13,False,66,16
2,2,5,False,65,16
11,8,21,False,65,16
23,7,15,False,55,16
19,8,19,False,54,16
3,3,16,False,49,16
20,5,8,False,46,16
17,9,7,False,45,16
4,1,2,False,41,16
25,3,18,False,19,16
8,6,2,True,56,17
4,1,4,False,56,17
13,6,3,False,56,17
20,5,17,False,56,17
18,11,10,False,56,17
24,5,11,False,56,17
2,2,8,False,56,17
14,9,5,False,56,17
5,4,13,False,56,17
17,9,7,False,56,17
21,4,18,False,56,17
25,3,19,False,55,17
15,7,12,False,55,17
11,8,20,False,55,17
22,11,16,False,55,17
3,3,15,False,54,17
29,12,22,False,53,17
9,2,9,False,33,17
1,1,1,False,30,17
23,7,6,False,25,17
16,12,21,False,24,17
19,8,14,False,11,17
8,6,3,True,71,18
13,6,1,False,71,18
4,1,4,False,71,18
3,3,10,False,71,18
9,2,7,False,71,18
2,2,6,False,71,18
1,1,2,False,70,18
15,7,8,False,70,18
14,9,9,False,70,18
6,3,19,False,70,18
23,7,15,False,70,18
11,8,18,False,69,18
24,5,14,False,69,18
19,8,20,False,68,18
16,12,21,False,43,18
22,11,11,False,40,18
5,4,17,False,35,18
20,5,13,False,34,18
18,11,16,False,20,18
17,9,5,False,14,18
29,12,22,False,2,18
21,4,12,False,2,18
4,4,4,True,57,3
30,6,1,False,57,3
8,1,22,False,57,3
18,11,3,False,57,3
31,1,5,False,57,3
17,3,7,False,57,3
3,3,12,False,57,3
32,9,8,False,57,3
13,6,2,False,57,3
14,9,13,False,57,3
24,5,15,False,57,3
2,2,10,False,56,3
26,5,16,False,56,3
23,7,17,False,56,3
22,11,6,False,56,3
15,7,14,False,56,3
33,13,19,False,55,3
11,8,20,False,53,3
34,8,21,False,35,3
35,2,11,False,29,3
21,4,9,False,21,3
27,13,18,False,0,3
21,4,1,True,56,2
4,4,7,False,56,2
18,11,2,False,56,2
31,1,5,False,56,2
13,6,21,False,56,2
30,6,14,False,56,2
35,2,10,False,56,2
23,7,22,False,56,2
15,7,9,False,55,2
22,11,20,False,55,2
24,5,13,False,54,2
27,13,15,False,54,2
33,13,16,False,54,2
11,8,17,False,53,2
2,2,11,False,48,2
26,5,12,False,41,2
34,8,18,False,33,2
32,9,8,False,26,2
17,3,4,False,15,2
14,9,19,False,10,2
3,3,3,False,6,2
8,1,6,False,0,2
4,4,3,True,57,1
8,1,4,False,57,1
23,7,6,False,57,1
2,2,8,False,57,1
21,4,2,False,57,1
35,2,19,False,57,1
22,11,16,False,57,1
14,9,11,False,57,1
26,5,18,False,57,1
18,11,1,False,56,1
27,13,17,False,56,1
11,8,21,False,55,1
34,8,22,False,54,1
31,1,5,False,46,1
33,13,20,False,39,1
24,5,12,False,37,1
30,6,10,False,32,1
17,3,7,False,22,1
32,9,13,False,4,1
15,7,9,False,0,1
3,3,14,False,0,1
13,6,15,False,0,1
30,6,1,True,62,21
4,4,5,False,62,21
31,1,7,False,62,21
13,6,4,False,62,21
8,1,8,False,62,21
17,3,10,False,62,21
18,11,2,False,62,21
21,4,11,False,62,21
23,7,6,False,62,21
22,11,3,False,62,21
3,3,13,False,62,21
35,2,12,False,62,21
2,2,15,False,61,21
24,5,16,False,61,21
26,5,18,False,61,21
33,13,19,False,60,21
14,9,14,False,47,21
11,8,21,False,44,21
32,9,17,False,40,21
34,8,22,False,23,21
15,7,9,False,5,21
27,13,20,False,0,21
30,6,2,True,60,20
4,4,1,False,60,20
13,6,3,False,60,20
8,1,5,False,60,20
22,11,4,False,60,20
21,4,11,False,60,20
3,3,22,False,60,20
35,2,9,False,60,20
