resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,total_pitstops,total_pitstop_duration,avg_points,total_wins,avg_pitstops,avg_pitstop_duration,circuitId
20779,841,20,9,1,1,25.0,58,1,2,46639,12.107142857142858,43,2.0669642857142856,161710.7232142857,1
20780,841,1,1,2,2,18.0,58,1,2,46426,15.39607843137255,80,2.023529411764706,183009.99607843137,1
20781,841,808,4,6,3,15.0,58,1,2,50218,1.0,0,2.3513513513513513,55713.2972972973,1
20782,841,4,6,5,4,12.0,58,1,3,72165,6.76605504587156,6,2.091743119266055,200918.623853211,1
20783,841,17,9,3,5,10.0,58,1,3,72176,11.357142857142858,3,2.5357142857142856,59732.67857142857,1
20784,841,18,1,4,6,8.0,58,1,3,62851,6.252252252252252,6,2.3333333333333335,106312.72972972973,1
20785,841,13,6,8,7,6.0,58,1,3,72437,5.130769230769231,0,2.4076923076923076,118260.22307692308,1
20786,841,67,5,10,8,4.0,57,11,2,48442,0.8823529411764706,0,2.411764705882353,57941.0,1
20787,841,16,10,16,9,2.0,57,11,2,49849,1.392156862745098,0,2.372549019607843,82185.35294117648,1
20788,841,814,10,14,10,1.0,57,11,2,49195,2.086206896551724,0,2.189655172413793,52736.224137931036,1
20789,841,153,5,12,11,0.0,57,11,3,77709,1.4444444444444444,0,2.388888888888889,57004.5,1
20790,841,2,4,18,12,0.0,57,11,2,48092,3.4,0,2.5,57333.3,1
20791,841,15,205,20,13,0.0,56,12,2,49747,0.0,0,2.235294117647059,56120.41176470588,1
20792,841,816,166,22,14,0.0,54,14,2,51705,0.0,0,2.3333333333333335,57956.555555555555,1
20793,841,10,166,21,15,0.0,49,19,1,23792,0.0,0,2.0833333333333335,49466.555555555555,1
20794,841,22,3,17,16,0.0,48,7,4,104700,0.2222222222222222,0,2.7777777777777777,68380.61111111111,1
20795,841,3,131,7,17,0.0,22,4,1,23716,12.405405405405405,23,2.2432432432432434,111625.33333333333,1
20796,841,5,205,19,18,0.0,19,47,1,24865,0.0,0,2.475,60906.45,1
20797,841,30,131,11,19,0.0,19,4,2,49009,3.289473684210526,0,2.3684210526315788,53388.10526315789,1
20799,841,155,15,9,21,0.0,58,2,2,48256,1.8,0,2.14,74539.4,1
20800,841,815,15,13,22,0.0,58,2,1,23438,6.0625,6,2.01953125,189425.61328125,1
20801,842,20,9,1,1,25.0,56,1,3,67225,12.107142857142858,43,2.0669642857142856,161710.7232142857,2
20802,842,18,1,4,2,18.0,56,1,3,67354,6.252252252252252,6,2.3333333333333335,106312.72972972973,2
20803,842,2,4,6,3,15.0,56,1,3,69723,3.4,0,2.5,57333.3,2
20804,842,17,9,3,4,12.0,56,1,4,88793,11.357142857142858,3,2.5357142857142856,59732.67857142857,2
20805,842,13,6,7,5,10.0,56,1,3,74658,5.130769230769231,0,2.4076923076923076,118260.22307692308,2
20806,842,4,6,5,6,8.0,56,1,4,98040,6.76605504587156,6,2.091743119266055,200918.623853211,2
20807,842,155,15,10,7,6.0,56,1,2,46722,1.8,0,2.14,74539.4,2
20808,842,1,1,2,8,4.0,56,1,4,93011,15.39607843137255,80,2.023529411764706,183009.99607843137,2
20809,842,30,131,11,9,2.0,56,1,3,67064,3.289473684210526,0,2.3684210526315788,53388.10526315789,2
20810,842,814,10,14,10,1.0,56,1,3,69169,2.086206896551724,0,2.189655172413793,52736.224137931036,2
20811,842,16,10,17,11,0.0,55,11,3,76290,1.392156862745098,0,2.372549019607843,82185.35294117648,2
20812,842,3,131,9,12,0.0,55,11,3,70070,12.405405405405405,23,2.2432432432432434,111625.33333333333,2
20813,842,67,5,12,13,0.0,55,11,3,80562,0.8823529411764706,0,2.411764705882353,57941.0,2
20814,842,153,5,13,14,0.0,55,11,2,46472,1.4444444444444444,0,2.388888888888889,57004.5,2
20815,842,5,205,19,15,0.0,55,11,2,52420,0.0,0,2.475,60906.45,2
20816,842,10,166,21,16,0.0,54,12,2,49046,0.0,0,2.0833333333333335,49466.555555555555,2
20817,842,808,4,8,17,0.0,52,3,3,74556,1.0,0,2.3513513513513513,55713.2972972973,2
20818,842,24,164,23,18,0.0,46,88,3,93192,0.0,0,2.5625,70219.875,2
20819,842,816,166,22,19,0.0,42,3,2,50668,0.0,0,2.3333333333333335,57956.555555555555,2
20820,842,15,205,20,20,0.0,31,8,1,25516,0.0,0,2.235294117647059,56120.41176470588,2
20821,842,815,15,16,21,0.0,23,3,1,23597,6.0625,6,2.01953125,189425.61328125,2
20822,842,22,3,15,22,0.0,22,6,2,57480,0.2222222222222222,0,2.7777777777777777,68380.61111111111,2
20825,843,1,1,3,1,25.0,56,1,3,61978,15.39607843137255,80,2.023529411764706,183009.99607843137,17
20826,843,20,9,1,2,18.0,56,1,2,43528,12.107142857142858,43,2.0669642857142856,161710.7232142857,17
20827,843,17,9,18,3,15.0,56,1,3,65665,11.357142857142858,3,2.5357142857142856,59732.67857142857,17
20828,843,18,1,2,4,12.0,56,1,3,65774,6.252252252252252,6,2.3333333333333335,106312.72972972973,17
20829,843,3,131,4,5,10.0,56,1,3,63496,12.405405405405405,23,2.2432432432432434,111625.33333333333,17
20830,843,13,6,6,6,8.0,56,1,2,42792,5.130769230769231,0,2.4076923076923076,118260.22307692308,17
20831,843,4,6,5,7,6.0,56,1,2,43775,6.76605504587156,6,2.091743119266055,200918.623853211,17
20832,843,30,131,14,8,4.0,56,1,3,63886,3.289473684210526,0,2.3684210526315788,53388.10526315789,17
20833,843,808,4,10,9,2.0,56,1,2,43986,1.0,0,2.3513513513513513,55713.2972972973,17
20834,843,155,15,13,10,1.0,56,1,2,43791,1.8,0,2.14,74539.4,17
20835,843,814,10,8,11,0.0,56,1,2,43207,2.086206896551724,0,2.189655172413793,52736.224137931036,17
20836,843,2,4,16,12,0.0,56,1,2,44037,3.4,0,2.5,57333.3,17
20837,843,22,3,15,13,0.0,56,1,2,43190,0.2222222222222222,0,2.7777777777777777,68380.61111111111,17
20838,843,67,5,9,14,0.0,56,1,3,68660,0.8823529411764706,0,2.411764705882353,57941.0,17
20839,843,16,10,11,15,0.0,55,11,3,70755,1.392156862745098,0,2.372549019607843,82185.35294117648,17
20840,843,5,205,19,16,0.0,55,11,2,44375,0.0,0,2.475,60906.45,17
20841,843,815,15,12,17,0.0,55,11,4,87615,6.0625,6,2.01953125,189425.61328125,17
20842,843,813,3,17,18,0.0,55,11,3,72842,0.9382716049382716,1,2.4074074074074074,72802.79012345678,17
20843,843,15,205,20,19,0.0,55,11,2,45289,0.0,0,2.235294117647059,56120.41176470588,17
20844,843,816,166,21,20,0.0,54,12,2,45703,0.0,0,2.3333333333333335,57956.555555555555,17
20845,843,10,166,22,21,0.0,54,12,3,78418,0.0,0,2.0833333333333335,49466.555555555555,17
20846,843,24,164,23,22,0.0,54,12,3,62126,0.0,0,2.5625,70219.875,17
20847,843,39,164,24,23,0.0,54,12,1,26049,0.0,0,2.0416666666666665,52388.291666666664,17
20848,843,153,5,7,24,0.0,9,36,1,22419,1.4444444444444444,0,2.388888888888889,57004.5,17
20849,844,20,9,1,1,25.0,58,1,4,81609,12.107142857142858,43,2.0669642857142856,161710.7232142857,5
20850,844,17,9,2,2,18.0,58,1,4,84401,11.357142857142858,3,2.5357142857142856,59732.67857142857,5
20851,844,4,6,5,3,15.0,58,1,4,86121,6.76605504587156,6,2.091743119266055,200918.623853211,5
20852,844,1,1,4,4,12.0,58,1,4,99637,15.39607843137255,80,2.023529411764706,183009.99607843137,5
20853,844,3,131,3,5,10.0,58,1,4,84757,12.405405405405405,23,2.2432432432432434,111625.33333333333,5
20854,844,18,1,6,6,8.0,58,1,3,65424,6.252252252252252,6,2.3333333333333335,106312.72972972973,5
20855,844,2,4,9,7,6.0,58,1,4,86975,3.4,0,2.5,57333.3,5
20856,844,808,4,7,8,4.0,58,1,4,86245,1.0,0,2.3513513513513513,55713.2972972973,5
20857,844,67,5,16,9,2.0,58,1,3,65929,0.8823529411764706,0,2.411764705882353,57941.0,5
20858,844,155,15,24,10,1.0,58,1,3,67731,1.8,0,2.14,74539.4,5
20859,844,13,6,10,11,0.0,58,1,4,93500,5.130769230769231,0,2.4076923076923076,118260.22307692308,5
