resultId,raceId,driverId,constructorId,grid,positionOrder,points,laps,statusId,stop,pit_stop_lap,pit_stop_duration
20779,841,20,9,1,1,25.0,58,1,1,14,22603
20779,841,20,9,1,1,25.0,58,1,2,36,24036
20780,841,1,1,2,2,18.0,58,1,1,16,23227
20780,841,1,1,2,2,18.0,58,1,2,36,23199
20781,841,808,4,6,3,15.0,58,1,1,16,24535
20781,841,808,4,6,3,15.0,58,1,2,36,25683
20782,841,4,6,5,4,12.0,58,1,1,12,23251
20782,841,4,6,5,4,12.0,58,1,2,27,24733
20782,841,4,6,5,4,12.0,58,1,3,42,24181
20783,841,17,9,3,5,10.0,58,1,1,11,23426
20783,841,17,9,3,5,10.0,58,1,2,26,22520
20783,841,17,9,3,5,10.0,58,1,3,41,26230
20784,841,18,1,4,6,8.0,58,1,1,17,16867
20784,841,18,1,4,6,8.0,58,1,2,19,23303
20784,841,18,1,4,6,8.0,58,1,3,37,22681
20785,841,13,6,8,7,6.0,58,1,1,13,23842
20785,841,13,6,8,7,6.0,58,1,2,31,24500
20785,841,13,6,8,7,6.0,58,1,3,48,24095
20786,841,67,5,10,8,4.0,57,11,1,15,25342
20786,841,67,5,10,8,4.0,57,11,2,29,23100
20787,841,16,10,16,9,2.0,57,11,1,16,25978
20787,841,16,10,16,9,2.0,57,11,2,37,23871
20788,841,814,10,14,10,1.0,57,11,1,14,24863
20788,841,814,10,14,10,1.0,57,11,2,36,24332
20789,841,153,5,12,11,0.0,57,11,1,1,26898
20789,841,153,5,12,11,0.0,57,11,2,17,24463
20789,841,153,5,12,11,0.0,57,11,3,35,26348
20790,841,2,4,18,12,0.0,57,11,1,15,22994
20790,841,2,4,18,12,0.0,57,11,2,30,25098
20791,841,15,205,20,13,0.0,56,12,1,16,24899
20791,841,15,205,20,13,0.0,56,12,2,37,24848
20792,841,816,166,22,14,0.0,54,14,1,14,25259
20792,841,816,166,22,14,0.0,54,14,2,38,26446
20793,841,10,166,21,15,0.0,49,19,1,18,23792
20794,841,22,3,17,16,0.0,48,7,1,13,23643
20794,841,22,3,17,16,0.0,48,7,2,23,37856
20794,841,22,3,17,16,0.0,48,7,3,28,16892
20794,841,22,3,17,16,0.0,48,7,4,40,26309
20795,841,3,131,7,17,0.0,22,4,1,16,23716
20796,841,5,205,19,18,0.0,19,47,1,17,24865
20797,841,30,131,11,19,0.0,19,4,1,1,25021
20797,841,30,131,11,19,0.0,19,4,2,17,23988
20799,841,155,15,9,21,0.0,58,2,1,16,24064
20799,841,155,15,9,21,0.0,58,2,2,32,24192
20800,841,815,15,13,22,0.0,58,2,1,23,23438
20801,842,20,9,1,1,25.0,56,1,1,13,23019
