raceId,driverId,constructorId,grid,positionOrder,laps,circuitId,stop,lap,milliseconds
841,20,9,1,1,58,1,1,14,22603
841,20,9,1,1,58,1,2,36,24036
841,1,1,2,2,58,1,1,16,23227
841,1,1,2,2,58,1,2,36,23199
841,808,4,6,3,58,1,1,16,24535
841,808,4,6,3,58,1,2,36,25683
841,4,6,5,4,58,1,1,12,23251
841,4,6,5,4,58,1,2,27,24733
841,4,6,5,4,58,1,3,42,24181
841,17,9,3,5,58,1,1,11,23426
841,17,9,3,5,58,1,2,26,22520
841,17,9,3,5,58,1,3,41,26230
841,18,1,4,6,58,1,1,17,16867
841,18,1,4,6,58,1,2,19,23303
841,18,1,4,6,58,1,3,37,22681
841,13,6,8,7,58,1,1,13,23842
841,13,6,8,7,58,1,2,31,24500
841,13,6,8,7,58,1,3,48,24095
841,67,5,10,8,57,1,1,15,25342
841,67,5,10,8,57,1,2,29,23100
841,16,10,16,9,57,1,1,16,25978
841,16,10,16,9,57,1,2,37,23871
841,814,10,14,10,57,1,1,14,24863
841,814,10,14,10,57,1,2,36,24332
841,153,5,12,11,57,1,1,1,26898
841,153,5,12,11,57,1,2,17,24463
841,153,5,12,11,57,1,3,35,26348
841,2,4,18,12,57,1,1,15,22994
841,2,4,18,12,57,1,2,30,25098
841,15,205,20,13,56,1,1,16,24899
841,15,205,20,13,56,1,2,37,24848
841,816,166,22,14,54,1,1,14,25259
841,816,166,22,14,54,1,2,38,26446
841,10,166,21,15,49,1,1,18,23792
841,22,3,17,16,48,1,1,13,23643
841,22,3,17,16,48,1,2,23,37856
841,22,3,17,16,48,1,3,28,16892
841,22,3,17,16,48,1,4,40,26309
841,3,131,7,17,22,1,1,16,23716
841,5,205,19,18,19,1,1,17,24865
841,30,131,11,19,19,1,1,1,25021
841,30,131,11,19,19,1,2,17,23988
841,155,15,9,21,58,1,1,16,24064
841,155,15,9,21,58,1,2,32,24192
841,815,15,13,22,58,1,1,23,23438
842,20,9,1,1,56,2,1,13,23019
842,20,9,1,1,56,2,2,25,21893
842,20,9,1,1,56,2,3,41,22313
842,18,1,4,2,56,2,1,13,22400
842,18,1,4,2,56,2,2,23,22471
842,18,1,4,2,56,2,3,38,22483
842,2,4,6,3,56,2,1,13,23900
842,2,4,6,3,56,2,2,26,23221
842,2,4,6,3,56,2,3,39,22602
842,17,9,3,4,56,2,1,10,22572
842,17,9,3,4,56,2,2,22,21991
842,17,9,3,4,56,2,3,32,22069
842,17,9,3,4,56,2,4,43,22161
842,13,6,7,5,56,2,1,13,29224
842,13,6,7,5,56,2,2,27,22541
842,13,6,7,5,56,2,3,38,22893
842,4,6,5,6,56,2,1,14,23152
842,4,6,5,6,56,2,2,26,23894
842,4,6,5,6,56,2,3,41,23812
842,4,6,5,6,56,2,4,46,27182
842,155,15,10,7,56,2,1,17,23280
842,155,15,10,7,56,2,2,36,23442
842,1,1,2,8,56,2,1,12,22552
842,1,1,2,8,56,2,2,24,22611
842,1,1,2,8,56,2,3,37,25382
842,1,1,2,8,56,2,4,52,22466
842,30,131,11,9,56,2,1,14,22576
842,30,131,11,9,56,2,2,28,22261
842,30,131,11,9,56,2,3,42,22227
842,814,10,14,10,56,2,1,11,22773
842,814,10,14,10,56,2,2,24,22419
842,814,10,14,10,56,2,3,37,23977
