raceId,driverId,constructorId,grid,positionOrder,laps,circuitId,stop,lap,milliseconds
841,1,1,2,2,58,1,2,36,23199
841,2,4,18,12,57,1,2,30,25098
841,3,131,7,17,22,1,1,16,23716
841,4,6,5,4,58,1,3,42,24181
841,5,205,19,18,19,1,1,17,24865
841,10,166,21,15,49,1,1,18,23792
841,13,6,8,7,58,1,3,48,24095
841,15,205,20,13,56,1,2,37,24848
841,16,10,16,9,57,1,2,37,23871
841,17,9,3,5,58,1,3,41,26230
841,18,1,4,6,58,1,3,37,22681
841,20,9,1,1,58,1,2,36,24036
841,22,3,17,16,48,1,4,40,26309
841,30,131,11,19,19,1,2,17,23988
841,67,5,10,8,57,1,2,29,23100
841,153,5,12,11,57,1,3,35,26348
841,155,15,9,21,58,1,2,32,24192
841,808,4,6,3,58,1,2,36,25683
841,814,10,14,10,57,1,2,36,24332
841,815,15,13,22,58,1,1,23,23438
841,816,166,22,14,54,1,2,38,26446
842,1,1,2,8,56,2,4,52,22466
842,2,4,6,3,56,2,3,39,22602
842,3,131,9,12,55,2,3,40,22526
842,4,6,5,6,56,2,4,46,27182
842,5,205,19,15,55,2,2,34,23336
842,10,166,21,16,54,2,2,34,24429
842,13,6,7,5,56,2,3,38,22893
842,15,205,20,20,31,2,1,13,25516
842,16,10,17,11,55,2,3,32,22550
842,17,9,3,4,56,2,4,43,22161
842,18,1,4,2,56,2,3,38,22483
842,20,9,1,1,56,2,3,41,22313
842,22,3,15,22,22,2,2,17,24502
842,24,164,23,18,46,2,3,44,38823
842,30,131,11,9,56,2,3,42,22227
842,67,5,12,13,55,2,3,32,27439
842,153,5,13,14,55,2,2,32,22888
842,155,15,10,7,56,2,2,36,23442
842,808,4,8,17,52,2,3,44,28694
842,814,10,14,10,56,2,3,37,23977
842,815,15,16,21,23,2,1,17,23597
842,816,166,22,19,42,2,2,35,24416
843,1,1,3,1,56,17,3,38,20567
843,2,4,16,12,56,17,2,30,21821
843,3,131,4,5,56,17,3,39,20720
843,4,6,5,7,56,17,2,32,21251
843,5,205,19,16,55,17,2,40,21890
843,10,166,22,21,54,17,3,39,33827
843,13,6,6,6,56,17,2,33,21168
843,15,205,20,19,55,17,2,42,22260
843,16,10,11,15,55,17,3,47,28708
843,17,9,18,3,56,17,3,40,21091
843,18,1,2,4,56,17,3,37,21237
843,20,9,1,2,56,17,2,31,21533
843,22,3,15,13,56,17,2,35,21481
843,24,164,23,22,54,17,3,45,23499
843,30,131,14,8,56,17,3,39,21400
843,39,164,24,23,54,17,1,23,26049
843,67,5,9,14,56,17,3,33,21928
843,153,5,7,24,9,17,1,9,22419
843,155,15,13,10,56,17,2,30,21936
843,808,4,10,9,56,17,2,37,22005
843,813,3,17,18,55,17,3,40,27620
843,814,10,8,11,56,17,2,32,21218
843,815,15,12,17,55,17,4,50,28845
843,816,166,21,20,54,17,2,34,22802
844,1,1,4,4,58,5,4,46,22041
844,2,4,9,7,58,5,4,46,21884
844,3,131,3,5,58,5,4,44,20308
844,4,6,5,3,58,5,4,46,21379
844,5,205,18,19,56,5,3,53,23114
844,13,6,10,11,58,5,4,46,26685
844,15,205,19,18,57,5,3,39,22219
844,16,10,12,13,57,5,3,40,21006
844,17,9,2,2,58,5,4,45,22087
844,18,1,6,6,58,5,3,39,21417
844,20,9,1,1,58,5,4,47,20489
844,22,3,11,15,57,5,3,40,21687
844,24,164,20,22,53,5,4,37,43603
844,30,131,8,12,58,5,4,45,20597
844,39,164,22,21,55,5,3,45,24474
844,67,5,16,9,58,5,3,40,22032
844,153,5,17,16,57,5,4,55,21931
844,155,15,24,10,58,5,3,38,22456
844,808,4,7,8,58,5,4,45,21662
844,813,3,14,17,57,5,4,45,13925
844,814,10,13,23,44,5,4,44,21403
844,815,15,15,14,57,5,4,42,21715
844,816,166,23,20,56,5,2,33,24837
845,1,1,3,2,66,4,4,49,20988
845,2,4,24,8,65,4,3,50,20796
845,3,131,7,7,65,4,3,42,20395
845,4,6,4,5,65,4,4,39,20380
845,5,205,15,23,48,4,3,41,23068
845,10,166,20,19,63,4,3,53,21170
845,13,6,8,22,58,4,3,36,22419
845,15,205,18,18,64,4,3,43,23001
845,16,10,17,13,65,4,3,48,23230
845,17,9,1,4,66,4,4,47,19984
845,18,1,5,3,66,4,3,48,20107
845,20,9,2,1,66,4,4,48,20292
845,22,3,19,17,64,4,4,54,20637
845,24,164,21,24,28,4,1,16,23157
845,30,131,10,6,65,4,3,41,20451
845,39,164,22,21,61,4,3,47,24298
845,67,5,11,14,65,4,3,42,20819
845,153,5,13,16,64,4,4,50,23143
845,155,15,14,10,65,4,3,44,20500
845,808,4,6,11,65,4,3,41,21739
845,813,3,9,15,65,4,4,53,22077
845,814,10,16,12,65,4,3,51,20573
845,815,15,12,9,65,4,3,47,21829
845,816,166,23,20,62,4,3,49,21708
846,1,1,9,6,78,6,3,49,26977
846,2,4,15,8,77,6,2,69,26281
846,3,131,7,11,76,6,3,53,25116
846,4,6,4,2,78,6,2,34,31382
846,5,205,17,14,76,6,2,52,25878
846,10,166,20,23,30,6,1,22,26827
846,13,6,6,21,32,6,1,26,26615
846,15,205,18,13,76,6,2,46,26065
846,16,10,14,7,77,6,2,68,27879
846,17,9,3,4,78,6,2,55,26269
846,18,1,2,3,78,6,3,48,24670
846,20,9,1,1,78,6,1,16,28536
846,22,3,11,9,77,6,2,68,25675
846,24,164,23,16,75,6,1,32,28298
846,30,131,5,22,32,6,1,12,35084
846,39,164,22,17,74,6,2,33,39917
846,67,5,16,10,77,6,2,62,25045
846,153,5,19,20,66,6,2,56,27550
846,155,15,12,5,78,6,1,34,28642
846,808,4,10,19,67,6,1,28,28856
846,813,3,8,18,73,6,2,54,25687
846,814,10,13,12,76,6,3,32,47226
846,816,166,21,15,75,6,2,63,26464
847,2,4,9,20,55,7,2,52,23364
847,3,131,6,11,70,7,4,53,22702
847,4,6,2,22,36,7,3,36,26129
847,5,205,19,23,28,7,1,19,44037
847,10,166,21,16,69,7,2,51,25079
847,13,6,3,6,70,7,4,53,28346
847,15,205,18,17,69,7,3,52,25140
847,16,10,14,21,49,7,4,49,32449
847,17,9,4,3,70,7,3,50,22770
847,18,1,7,1,70,7,6,51,23741
847,20,9,1,2,70,7,3,53,22526
847,22,3,16,9,70,7,4,50,23059
847,24,164,20,13,69,7,3,52,33278
847,30,131,8,4,70,7,4,52,22869
847,37,15,17,12,70,7,2,52,24039
847,39,164,22,14,69,7,2,51,29540
847,67,5,15,10,70,7,4,50,26561
847,153,5,24,8,70,7,3,51,23338
847,155,15,13,7,70,7,2,53,24618
847,808,4,10,5,70,7,2,53,24145
847,813,3,12,19,61,7,5,61,31701
847,814,10,11,18,67,7,4,53,23129
847,816,166,23,15,69,7,5,52,30714
848,1,1,3,4,57,12,3,42,20212
848,2,4,9,10,56,12,3,40,21472
848,3,131,7,7,57,12,3,45,20896
848,4,6,4,2,57,12,3,45,20136
