driverId,constructorId,grid,positionOrder,laps,circuitId,numStops
1,1,2,0,58,1,2
2,4,18,0,57,1,2
3,131,7,0,22,1,1
4,6,5,0,58,1,3
5,205,19,0,19,1,1
10,166,21,0,49,1,1
13,6,8,0,58,1,3
15,205,20,0,56,1,2
16,10,16,0,57,1,2
17,9,3,0,58,1,3
18,1,4,0,58,1,3
20,9,1,1,58,1,2
22,3,17,0,48,1,4
30,131,11,0,19,1,2
67,5,10,0,57,1,2
153,5,12,0,57,1,3
155,15,9,0,58,1,2
808,4,6,0,58,1,2
814,10,14,0,57,1,2
815,15,13,0,58,1,1
816,166,22,0,54,1,2
1,1,2,0,56,2,4
2,4,6,0,56,2,3
3,131,9,0,55,2,3
4,6,5,0,56,2,4
5,205,19,0,55,2,2
10,166,21,0,54,2,2
13,6,7,0,56,2,3
15,205,20,0,31,2,1
16,10,17,0,55,2,3
17,9,3,0,56,2,4
18,1,4,0,56,2,3
20,9,1,1,56,2,3
22,3,15,0,22,2,2
24,164,23,0,46,2,3
30,131,11,0,56,2,3
67,5,12,0,55,2,3
153,5,13,0,55,2,2
155,15,10,0,56,2,2
808,4,8,0,52,2,3
814,10,14,0,56,2,3
815,15,16,0,23,2,1
816,166,22,0,42,2,2
1,1,3,1,56,17,3
2,4,16,0,56,17,2
3,131,4,0,56,17,3
4,6,5,0,56,17,2
5,205,19,0,55,17,2
10,166,22,0,54,17,3
13,6,6,0,56,17,2
15,205,20,0,55,17,2
16,10,11,0,55,17,3
17,9,18,0,56,17,3
18,1,2,0,56,17,3
20,9,1,0,56,17,2
22,3,15,0,56,17,2
24,164,23,0,54,17,3
30,131,14,0,56,17,3
39,164,24,0,54,17,1
67,5,9,0,56,17,3
153,5,7,0,9,17,1
155,15,13,0,56,17,2
808,4,10,0,56,17,2
813,3,17,0,55,17,3
814,10,8,0,56,17,2
815,15,12,0,55,17,4
816,166,21,0,54,17,2
1,1,4,0,58,5,4
2,4,9,0,58,5,4
3,131,3,0,58,5,4
4,6,5,0,58,5,4
5,205,18,0,56,5,3
13,6,10,0,58,5,4
15,205,19,0,57,5,3
16,10,12,0,57,5,3
17,9,2,0,58,5,4
18,1,6,0,58,5,3
20,9,1,1,58,5,4
22,3,11,0,57,5,3
24,164,20,0,53,5,4
30,131,8,0,58,5,4
39,164,22,0,55,5,3
67,5,16,0,58,5,3
153,5,17,0,57,5,4
155,15,24,0,58,5,3
808,4,7,0,58,5,4
813,3,14,0,57,5,4
814,10,13,0,44,5,4
815,15,15,0,57,5,4
816,166,23,0,56,5,2
1,1,3,0,66,4,4
2,4,24,0,65,4,3
3,131,7,0,65,4,3
4,6,4,0,65,4,4
5,205,15,0,48,4,3
10,166,20,0,63,4,3
13,6,8,0,58,4,3
15,205,18,0,64,4,3
16,10,17,0,65,4,3
17,9,1,0,66,4,4
18,1,5,0,66,4,3
20,9,2,1,66,4,4
22,3,19,0,64,4,4
24,164,21,0,28,4,1
30,131,10,0,65,4,3
39,164,22,0,61,4,3
67,5,11,0,65,4,3
153,5,13,0,64,4,4
155,15,14,0,65,4,3
808,4,6,0,65,4,3
813,3,9,0,65,4,4
814,10,16,0,65,4,3
815,15,12,0,65,4,3
816,166,23,0,62,4,3
1,1,9,0,78,6,3
2,4,15,0,77,6,2
3,131,7,0,76,6,3
4,6,4,0,78,6,2
5,205,17,0,76,6,2
10,166,20,0,30,6,1
13,6,6,0,32,6,1
15,205,18,0,76,6,2
16,10,14,0,77,6,2
17,9,3,0,78,6,2
18,1,2,0,78,6,3
20,9,1,1,78,6,1
22,3,11,0,77,6,2
24,164,23,0,75,6,1
30,131,5,0,32,6,1
39,164,22,0,74,6,2
67,5,16,0,77,6,2
153,5,19,0,66,6,2
155,15,12,0,78,6,1
808,4,10,0,67,6,1
813,3,8,0,73,6,2
814,10,13,0,76,6,3
816,166,21,0,75,6,2
2,4,9,0,55,7,2
3,131,6,0,70,7,4
4,6,2,0,36,7,3
5,205,19,0,28,7,1
10,166,21,0,69,7,2
13,6,3,0,70,7,4
15,205,18,0,69,7,3
16,10,14,0,49,7,4
17,9,4,0,70,7,3
18,1,7,1,70,7,6
20,9,1,0,70,7,3
22,3,16,0,70,7,4
24,164,20,0,69,7,3
30,131,8,0,70,7,4
37,15,17,0,70,7,2
39,164,22,0,69,7,2
67,5,15,0,70,7,4
153,5,24,0,70,7,3
155,15,13,0,70,7,2
808,4,10,0,70,7,2
813,3,12,0,61,7,5
814,10,11,0,67,7,4
816,166,23,0,69,7,5
1,1,3,0,57,12,3
2,4,9,0,56,12,3
3,131,7,0,57,12,3
4,6,4,0,57,12,3
5,205,19,0,55,12,3
10,166,21,0,55,12,2
13,6,5,0,57,12,3
15,205,20,0,55,12,2
16,10,10,0,56,12,3
17,9,2,0,57,12,3
18,1,6,0,57,12,3
20,9,1,1,57,12,3
22,3,13,0,56,12,3
24,164,22,0,54,12,3
30,131,8,0,56,12,3
39,164,24,0,54,12,3
67,5,17,0,56,12,3
153,5,18,0,56,12,2
155,15,14,0,56,12,2
808,4,11,0,56,12,3
813,3,15,0,56,12,3
814,10,12,0,56,12,3
815,15,16,0,56,12,1
816,166,23,0,55,12,2
1,1,10,0,52,9,3
2,4,16,0,52,9,2
3,131,9,0,52,9,2
4,6,3,1,52,9,3
10,166,20,0,50,9,2
13,6,4,0,52,9,3
16,10,11,0,52,9,3
17,9,1,0,52,9,3
18,1,5,0,39,9,3
20,9,2,0,52,9,3
22,3,15,0,51,9,2
24,164,23,0,50,9,2
30,131,13,0,52,9,3
67,5,19,0,25,9,2
153,5,18,0,52,9,2
155,15,8,0,23,9,2
808,4,14,0,52,9,2
813,3,7,0,51,9,3
814,10,6,0,51,9,3
815,15,12,0,52,9,2
816,166,22,0,50,9,2
817,164,24,0,49,9,2
1,1,2,1,60,20,3
3,131,6,0,59,20,3
4,6,4,0,60,20,3
5,205,18,0,58,20,2
